"","TIME_PERIOD","MEASURE","MEASURE_label.en.label","INDEX","INDEX_label.en","TSEST","TSEST_label.en.label","REGION","REGION_label.en.label","FREQ","FREQ_label.en.label","obsValue","UNIT_MEASURE","UNIT_MEASURE_label.en","OBS_STATUS","OBS_STATUS_label.en"
"1","2020-Q3","2","Percentage Change from Previous Period","30024","Private motoring","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",3.9,"PCT","Percent",NA,NA
"2","2020-Q4","2","Percentage Change from Previous Period","30024","Private motoring","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",0.7,"PCT","Percent",NA,NA
"3","2021-Q1","2","Percentage Change from Previous Period","30024","Private motoring","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",3.4,"PCT","Percent",NA,NA
"4","2021-Q2","2","Percentage Change from Previous Period","30024","Private motoring","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",3,"PCT","Percent",NA,NA
"5","2021-Q3","2","Percentage Change from Previous Period","30024","Private motoring","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",3.2,"PCT","Percent",NA,NA
"6","2021-Q4","2","Percentage Change from Previous Period","30024","Private motoring","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",3,"PCT","Percent",NA,NA
"7","2020-Q3","2","Percentage Change from Previous Period","40080","Motor vehicles","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",2.5,"PCT","Percent",NA,NA
"8","2020-Q4","2","Percentage Change from Previous Period","40080","Motor vehicles","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",1.8,"PCT","Percent",NA,NA
"9","2021-Q1","2","Percentage Change from Previous Period","40080","Motor vehicles","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",0.7,"PCT","Percent",NA,NA
"10","2021-Q2","2","Percentage Change from Previous Period","40080","Motor vehicles","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",2.2,"PCT","Percent",NA,NA
"11","2021-Q3","2","Percentage Change from Previous Period","40080","Motor vehicles","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",1.4,"PCT","Percent",NA,NA
"12","2021-Q4","2","Percentage Change from Previous Period","40080","Motor vehicles","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",1.9,"PCT","Percent",NA,NA
"1577","2020-Q3","3","Percentage Change from Corresponding Quarter of the Previous Year","115484","Small electric household appliances","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",4.5,"PCT","Percent",NA,NA
"1587","2020-Q4","3","Percentage Change from Corresponding Quarter of the Previous Year","115484","Small electric household appliances","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",8.6,"PCT","Percent",NA,NA
"2199","2021-Q1","3","Percentage Change from Corresponding Quarter of the Previous Year","115484","Small electric household appliances","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",7.2,"PCT","Percent",NA,NA
"2200","2021-Q2","3","Percentage Change from Corresponding Quarter of the Previous Year","115484","Small electric household appliances","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",6.2,"PCT","Percent",NA,NA
"2565","2021-Q3","3","Percentage Change from Corresponding Quarter of the Previous Year","115484","Small electric household appliances","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",-1.4,"PCT","Percent",NA,NA
"2566","2021-Q4","3","Percentage Change from Corresponding Quarter of the Previous Year","115484","Small electric household appliances","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",-2,"PCT","Percent",NA,NA
"19","2020-Q3","2","Percentage Change from Previous Period","97567","Books","20","Seasonally Adjusted","50","Weighted average of eight capital cities","Q","Quarterly",-1.6,"PCT","Percent","r","revised"
"20","2020-Q4","2","Percentage Change from Previous Period","97567","Books","20","Seasonally Adjusted","50","Weighted average of eight capital cities","Q","Quarterly",-1.5,"PCT","Percent","r","revised"
"21","2021-Q1","2","Percentage Change from Previous Period","97567","Books","20","Seasonally Adjusted","50","Weighted average of eight capital cities","Q","Quarterly",1.1,"PCT","Percent","r","revised"
"22","2021-Q2","2","Percentage Change from Previous Period","97567","Books","20","Seasonally Adjusted","50","Weighted average of eight capital cities","Q","Quarterly",0.3,"PCT","Percent","r","revised"
"23","2021-Q3","2","Percentage Change from Previous Period","97567","Books","20","Seasonally Adjusted","50","Weighted average of eight capital cities","Q","Quarterly",-0.8,"PCT","Percent","r","revised"
"24","2021-Q4","2","Percentage Change from Previous Period","97567","Books","20","Seasonally Adjusted","50","Weighted average of eight capital cities","Q","Quarterly",-1.3,"PCT","Percent",NA,NA
"25","2020-Q3","2","Percentage Change from Previous Period","97560","Property rates and charges","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",1.3,"PCT","Percent",NA,NA
"26","2020-Q4","2","Percentage Change from Previous Period","97560","Property rates and charges","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",0,"PCT","Percent",NA,NA
"27","2021-Q1","2","Percentage Change from Previous Period","97560","Property rates and charges","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",0,"PCT","Percent",NA,NA
"28","2021-Q2","2","Percentage Change from Previous Period","97560","Property rates and charges","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",0,"PCT","Percent",NA,NA
"29","2021-Q3","2","Percentage Change from Previous Period","97560","Property rates and charges","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",3.3,"PCT","Percent",NA,NA
"30","2021-Q4","2","Percentage Change from Previous Period","97560","Property rates and charges","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",0,"PCT","Percent",NA,NA
"31","2020-Q3","2","Percentage Change from Previous Period","20004","Furnishings, household equipment and services","20","Seasonally Adjusted","50","Weighted average of eight capital cities","Q","Quarterly",11.3,"PCT","Percent",NA,NA
"32","2020-Q4","2","Percentage Change from Previous Period","20004","Furnishings, household equipment and services","20","Seasonally Adjusted","50","Weighted average of eight capital cities","Q","Quarterly",3.7,"PCT","Percent",NA,NA
"33","2021-Q1","2","Percentage Change from Previous Period","20004","Furnishings, household equipment and services","20","Seasonally Adjusted","50","Weighted average of eight capital cities","Q","Quarterly",0.7,"PCT","Percent",NA,NA
"34","2021-Q2","2","Percentage Change from Previous Period","20004","Furnishings, household equipment and services","20","Seasonally Adjusted","50","Weighted average of eight capital cities","Q","Quarterly",0.6,"PCT","Percent",NA,NA
"35","2021-Q3","2","Percentage Change from Previous Period","20004","Furnishings, household equipment and services","20","Seasonally Adjusted","50","Weighted average of eight capital cities","Q","Quarterly",0.8,"PCT","Percent",NA,NA
