REGION,GROUP,SUBGROUP,CLASS,LEVEL,CHART,SERIES_ID,CONSUMPTION
Australia,FOOD AND NON-ALCOHOLIC BEVERAGES,,,1,0.5,A2325851W,
Australia,FOOD AND NON-ALCOHOLIC BEVERAGES,Bread and cereal products,,2,0.4,A2326166T,
Australia,FOOD AND NON-ALCOHOLIC BEVERAGES,Bread and cereal products,Bread,3,0.8,A2327021W,
Australia,FOOD AND NON-ALCOHOLIC BEVERAGES,Bread and cereal products,Cakes and biscuits,3,0.8,A2327066A,
Australia,FOOD AND NON-ALCOHOLIC BEVERAGES,Bread and cereal products,Breakfast cereals,3,0.3,A2327111A,
Australia,FOOD AND NON-ALCOHOLIC BEVERAGES,Bread and cereal products,Other cereal products,3,0.5,A2327156F,
Australia,FOOD AND NON-ALCOHOLIC BEVERAGES,Meat and seafoods,,2,0.6,A2326211T,
Australia,FOOD AND NON-ALCOHOLIC BEVERAGES,Meat and seafoods,Beef and veal,3,1.0,A2327201F,
Australia,FOOD AND NON-ALCOHOLIC BEVERAGES,Meat and seafoods,Pork,3,0.2,A3603903T,
Australia,FOOD AND NON-ALCOHOLIC BEVERAGES,Meat and seafoods,Lamb and goat,3,0.8,A2327246K,
Australia,FOOD AND NON-ALCOHOLIC BEVERAGES,Meat and seafoods,Poultry,3,1.0,A2327336R,
Australia,FOOD AND NON-ALCOHOLIC BEVERAGES,Meat and seafoods,Other meats,3,0.6,A2327426V,
Australia,FOOD AND NON-ALCOHOLIC BEVERAGES,Meat and seafoods,Fish and other seafood,3,0.6,A2327471F,
Australia,FOOD AND NON-ALCOHOLIC BEVERAGES,Dairy and related products,,2,0.6,A2326121L,
Australia,FOOD AND NON-ALCOHOLIC BEVERAGES,Dairy and related products,Milk,3,1.0,A2326886R,
Australia,FOOD AND NON-ALCOHOLIC BEVERAGES,Dairy and related products,Cheese,3,0.2,A2326931R,
Australia,FOOD AND NON-ALCOHOLIC BEVERAGES,Dairy and related products,Ice cream and other dairy products,3,0.7,A2326976V,
Australia,FOOD AND NON-ALCOHOLIC BEVERAGES,Fruit and vegetables,,2,0.7,A2330846X,
Australia,FOOD AND NON-ALCOHOLIC BEVERAGES,Fruit and vegetables,Fruit,3,0.6,A2330891K,
Australia,FOOD AND NON-ALCOHOLIC BEVERAGES,Fruit and vegetables,Vegetables,3,0.5,A2330936C,
