INDEX,GROUP,SUBGROUP,CLASS,LEVEL,WEIGHT,CHART,CONSUMPTION
20001,Food And Non-Alcoholic Beverages,,,1,16.76,,
30002,Food And Non-Alcoholic Beverages,Bread and cereal products,,2,1.43,,
40005,Food And Non-Alcoholic Beverages,Bread and cereal products,Bread,3,0.53,,
40006,Food And Non-Alcoholic Beverages,Bread and cereal products,Cakes and biscuits,3,0.61,,
40007,Food And Non-Alcoholic Beverages,Bread and cereal products,Breakfast cereals,3,0.12,,
40008,Food And Non-Alcoholic Beverages,Bread and cereal products,Other cereal products,3,0.17,,
30003,Food And Non-Alcoholic Beverages,Meat and seafoods,,2,2.45,,
40009,Food And Non-Alcoholic Beverages,Meat and seafoods,Beef and veal,3,0.54,,
131178,Food And Non-Alcoholic Beverages,Meat and seafoods,Pork,3,0.32,,
40010,Food And Non-Alcoholic Beverages,Meat and seafoods,Lamb and goat,3,0.31,,
40012,Food And Non-Alcoholic Beverages,Meat and seafoods,Poultry,3,0.45,,
40014,Food And Non-Alcoholic Beverages,Meat and seafoods,Other meats,3,0.39,,
40015,Food And Non-Alcoholic Beverages,Meat and seafoods,Fish and other seafood,3,0.44,,
30001,Food And Non-Alcoholic Beverages,Dairy and related products,,2,1.01,,
40001,Food And Non-Alcoholic Beverages,Dairy and related products,Milk,3,0.4,,
40002,Food And Non-Alcoholic Beverages,Dairy and related products,Cheese,3,0.32,,
40004,Food And Non-Alcoholic Beverages,Dairy and related products,Ice cream and other dairy products,3,0.29,,
114120,Food And Non-Alcoholic Beverages,Fruit and vegetables,,2,2.31,,
114121,Food And Non-Alcoholic Beverages,Fruit and vegetables,Fruit,3,1,,
114122,Food And Non-Alcoholic Beverages,Fruit and vegetables,Vegetables,3,1.31,,
131179,Food And Non-Alcoholic Beverages,Food products n.e.c.,,2,2.11,,
40027,Food And Non-Alcoholic Beverages,Food products n.e.c.,Eggs,3,0.13,,
40029,Food And Non-Alcoholic Beverages,Food products n.e.c.,"Jams, honey and spreads",3,0.13,,
